lsoa code (2011),lsoa code (2021),IMD rank,IMD dec,income,employment,EST,health and disability,crime,barriers to housing and services,living environment
E01000001,E01000001,"29,199",9,10,10,10,10,10,3,3
E01000002,E01000002,"30,379",10,10,10,10,10,10,4,4
E01000003,E01000003,"14,915",5,6,5,9,6,9,1,2
E01000005,E01000005,"8,678",3,2,3,4,6,10,1,3
E01000006,E01000006,"14,486",5,5,7,6,7,6,1,4
E01000007,E01000007,"7,256",3,2,4,7,5,2,1,4
E01000008,E01000008,"5,010",2,2,2,4,4,4,1,3
E01000009,E01000009,"6,736",3,3,4,6,3,2,1,3
E01000010,E01034474,"6,900",3,3,6,7,5,1,1,1
E01000011,E01000011,"7,698",3,3,5,4,6,3,1,2
E01000012,E01000012,"5,990",2,2,5,5,6,3,1,2
E01000013,E01000013,"4,573",2,2,3,4,3,1,1,3
E01000014,E01000014,"5,650",2,3,3,3,4,2,1,4
E01000015,E01000015,"6,405",2,2,3,4,5,4,1,4
E01000016,E01000016,"6,739",3,3,3,3,4,3,1,4
E01000017,E01000017,"4,570",2,2,2,4,3,4,1,4
E01000018,E01000018,"6,504",2,2,3,4,4,3,1,4
E01000019,E01000019,"6,410",2,3,3,4,3,3,1,4
E01000020,E01000020,"5,520",2,2,3,4,2,3,1,3
E01000021,E01000021,"4,611",2,2,3,3,4,3,1,1
E01000022,E01000022,"6,098",2,3,3,3,4,3,1,3
E01000023,E01034471,"5,243",2,2,4,4,5,1,1,2
E01000024,E01000024,"8,333",3,4,4,3,4,4,1,3
E01000025,E01000025,"5,303",2,2,3,4,4,2,1,4
E01000027,E01000027,"5,097",2,2,3,2,5,1,1,5
E01000028,E01000028,"4,240",2,2,2,3,1,6,1,6
E01000029,E01000029,"12,389",4,5,6,5,7,4,1,5
E01000030,E01000030,"4,760",2,2,2,2,5,3,1,5
E01000031,E01000031,"12,267",4,4,6,6,5,2,2,4
E01000032,E01000032,"8,037",3,4,4,4,5,2,1,2
E01000033,E01000033,"4,879",2,2,3,3,4,5,1,5
E01000034,E01000034,"5,575",2,2,3,3,3,4,1,6
E01000035,E01000035,"10,070",4,4,5,4,4,4,1,4
E01000036,E01000036,"15,028",5,5,6,6,6,4,2,4
E01000037,E01000037,"16,128",5,6,4,5,8,6,3,5
E01000038,E01000038,"14,671",5,4,6,5,6,5,3,4
E01000039,E01000039,"12,542",4,4,6,5,5,5,1,6
E01000040,E01000040,"6,028",2,2,3,3,5,3,1,3
E01000041,E01000041,"6,601",3,3,4,3,4,4,1,3
E01000042,E01000042,"3,842",2,2,2,3,3,4,1,4
E01000043,E01000043,"8,992",3,4,5,3,5,3,1,3
E01000044,E01000044,"8,825",3,4,6,4,7,1,1,1
E01000045,E01000045,"5,639",2,3,3,4,4,1,1,2
E01000046,E01000046,"8,138",3,3,4,3,4,6,1,3
E01000048,E01034479,"3,117",1,1,2,4,3,4,1,5
E01000049,E01000049,"3,928",2,1,3,3,4,4,1,4
E01000050,E01000050,"5,994",2,3,4,4,3,2,1,2
E01000051,E01000051,"5,228",2,2,3,3,4,2,1,4
E01000052,E01000052,"6,549",2,3,4,3,6,4,1,2
E01000053,E01000053,"4,249",2,2,3,3,3,1,1,4
E01000054,E01000054,"8,124",3,3,5,4,4,3,1,3
E01000055,E01000055,"7,604",3,2,4,3,5,5,1,3
E01000056,E01000056,"5,571",2,3,3,4,3,3,1,4
E01000057,E01000057,"6,712",3,3,4,3,5,3,1,3
E01000058,E01000058,"7,176",3,3,4,4,5,4,1,4
E01000059,E01000059,"6,950",3,3,3,3,5,4,1,3
E01000060,E01000060,"5,475",2,2,3,4,4,1,1,4
E01000061,E01000061,"2,802",1,1,2,2,2,5,1,6
E01000062,E01000062,"9,781",3,4,5,3,6,3,1,5
E01000063,E01000063,"6,520",2,3,3,2,4,4,1,2
E01000064,E01000064,"5,791",2,2,3,4,4,5,1,3
E01000065,E01000065,"4,296",2,2,2,4,2,4,1,3
E01000066,E01000066,"10,329",4,4,4,5,5,7,1,6
E01000067,E01000067,"13,573",5,4,7,6,7,4,1,5
E01000068,E01000068,"10,421",4,5,6,5,5,2,1,3
E01000069,E01000069,"17,580",6,6,6,5,8,5,2,3
E01000070,E01000070,"13,531",5,5,6,6,7,2,2,4
E01000071,E01000071,"15,370",5,4,7,6,7,6,1,5
E01000072,E01000072,"3,974",2,2,3,3,3,1,1,3
E01000073,E01000073,"4,645",2,2,3,3,3,1,1,4
E01000074,E01000074,"5,870",2,2,3,3,3,6,1,5
E01000075,E01000075,"5,215",2,3,4,2,5,1,1,2
E01000076,E01000076,"5,451",2,2,3,2,5,4,1,4
E01000077,E01000077,"3,967",2,2,2,3,3,3,1,2
E01000078,E01000078,"5,874",2,2,3,3,5,3,1,3
E01000079,E01000079,"6,057",2,2,3,4,5,4,1,3
E01000080,E01000080,"6,596",3,3,3,4,3,5,1,4
E01000081,E01000081,"7,738",3,3,4,3,4,5,1,3
E01000082,E01000082,"9,100",3,3,4,3,6,7,1,3
E01000083,E01000083,"6,111",2,3,3,3,4,4,1,2
E01000084,E01000084,"4,315",2,2,3,2,4,1,1,3
E01000085,E01000085,"5,838",2,3,3,2,6,1,1,3
E01000086,E01000086,"4,822",2,2,3,3,2,2,1,4
E01000087,E01000087,"6,122",2,2,3,3,5,5,1,3
E01000088,E01000088,"8,574",3,4,4,5,4,3,1,2
E01000089,E01000089,"8,508",3,4,5,4,6,5,1,2
E01000090,E01000090,"8,873",3,3,5,4,6,2,1,3
E01000091,E01000091,"3,669",2,2,2,3,4,2,1,4
E01000092,E01034475,"6,348",2,2,4,5,5,3,1,3
